,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.124147,53.134973,1000024,T,Jednorodzinna,zielone,worek,,,
23.124147,53.134973,1000024,T,Jednorodzinna,zmieszane,120,18014398708579197,4000000BDDFB7D,4000000BDDFB7D
23.120111,53.13736,1000025,T,Jednorodzinna,SUCHE,worek,,,
23.120111,53.13736,1000025,T,Jednorodzinna,gabaryty,kontener,,,
23.120111,53.13736,1000025,T,Jednorodzinna,popiół,worek,,,
23.120111,53.13736,1000025,T,Jednorodzinna,szkło,worek,,,
23.120111,53.13736,1000025,T,Jednorodzinna,zielone,worek,,,
23.120111,53.13736,1000025,T,Jednorodzinna,zmieszane,120,18014398708522690,4000000BDD1EC2,4000000BDD1EC2
23.082116,53.143716,1000026,T,Jednorodzinna,SUCHE,worek,,,
23.082116,53.143716,1000026,T,Jednorodzinna,gabaryty,kontener,,,
23.082116,53.143716,1000026,T,Jednorodzinna,popiół,worek,,,
23.082116,53.143716,1000026,T,Jednorodzinna,szkło,worek,,,
23.082116,53.143716,1000026,T,Jednorodzinna,zielone,worek,,,
23.082116,53.143716,1000026,T,Jednorodzinna,zmieszane,120,18014398708515188,4000000BDD0174,4000000BDD0174
23.081951,53.14372,1000027,T,Jednorodzinna,SUCHE,worek,,,
23.081951,53.14372,1000027,T,Jednorodzinna,gabaryty,kontener,,,
23.081951,53.14372,1000027,T,Jednorodzinna,popiół,worek,,,
23.081951,53.14372,1000027,T,Jednorodzinna,szkło,worek,,,
23.081951,53.14372,1000027,T,Jednorodzinna,zielone,worek,,,
23.081951,53.14372,1000027,T,Jednorodzinna,zmieszane,120,18014398708514837,4000000BDD0015,4000000BDD0015
23.082742,53.143409,1000028,T,Jednorodzinna,SUCHE,worek,,,
23.082742,53.143409,1000028,T,Jednorodzinna,gabaryty,kontener,,,
23.082742,53.143409,1000028,T,Jednorodzinna,popiół,worek,,,
23.082742,53.143409,1000028,T,Jednorodzinna,szkło,worek,,,
23.082742,53.143409,1000028,T,Jednorodzinna,zielone,worek,,,
23.082742,53.143409,1000028,T,Jednorodzinna,zmieszane,120,18014398708513723,4000000BDCFBBB,4000000BDCFBBB
23.093831,53.123373,1000029,T,Jednorodzinna,SUCHE,worek,,,
23.093831,53.123373,1000029,T,Jednorodzinna,gabaryty,kontener,,,
23.093831,53.123373,1000029,T,Jednorodzinna,popiół,worek,,,
23.093831,53.123373,1000029,T,Jednorodzinna,szkło,worek,,,
23.093831,53.123373,1000029,T,Jednorodzinna,zielone,worek,,,
23.093831,53.123373,1000029,T,Jednorodzinna,zmieszane,120,18014398708609466,4000000BDE71BA,4000000BDE71BA
23.094311,53.123524,1000030,T,Jednorodzinna,SUCHE,worek,,,
23.094311,53.123524,1000030,T,Jednorodzinna,gabaryty,kontener,,,
23.094311,53.123524,1000030,T,Jednorodzinna,popiół,worek,,,
23.094311,53.123524,1000030,T,Jednorodzinna,szkło,worek,,,
23.094311,53.123524,1000030,T,Jednorodzinna,zielone,worek,,,
23.094311,53.123524,1000030,T,Jednorodzinna,zmieszane,120,18014398708609753,4000000BDE72D9,4000000BDE72D9
23.093773,53.12356,1000031,T,Jednorodzinna,SUCHE,worek,,,
23.093773,53.12356,1000031,T,Jednorodzinna,gabaryty,kontener,,,
23.093773,53.12356,1000031,T,Jednorodzinna,popiół,worek,,,
23.093773,53.12356,1000031,T,Jednorodzinna,szkło,worek,,,
23.093773,53.12356,1000031,T,Jednorodzinna,zielone,worek,,,
23.093773,53.12356,1000031,T,Jednorodzinna,zmieszane,120,18014398708580528,4000000BDE00B0,4000000BDE00B0
23.093671,53.123742,1000032,T,Jednorodzinna,SUCHE,worek,,,
23.093671,53.123742,1000032,T,Jednorodzinna,gabaryty,kontener,,,
23.093671,53.123742,1000032,T,Jednorodzinna,popiół,worek,,,
23.093671,53.123742,1000032,T,Jednorodzinna,szkło,worek,,,
23.093671,53.123742,1000032,T,Jednorodzinna,zielone,worek,,,
23.093671,53.123742,1000032,T,Jednorodzinna,zmieszane,120,18014398708580363,4000000BDE000B,4000000BDE000B
23.093471,53.123916,1000033,T,Jednorodzinna,SUCHE,worek,,,
23.093471,53.123916,1000033,T,Jednorodzinna,gabaryty,kontener,,,
23.093471,53.123916,1000033,T,Jednorodzinna,popiół,worek,,,
23.093471,53.123916,1000033,T,Jednorodzinna,szkło,worek,,,
23.093471,53.123916,1000033,T,Jednorodzinna,zielone,worek,,,
23.093471,53.123916,1000033,T,Jednorodzinna,zmieszane,120,18014398708609677,4000000BDE728D,4000000BDE728D
23.093373,53.12408,1000034,T,Jednorodzinna,SUCHE,worek,,,
23.093373,53.12408,1000034,T,Jednorodzinna,gabaryty,kontener,,,
23.093373,53.12408,1000034,T,Jednorodzinna,popiół,worek,,,
23.093373,53.12408,1000034,T,Jednorodzinna,szkło,worek,,,
23.093373,53.12408,1000034,T,Jednorodzinna,zielone,worek,,,
23.093373,53.12408,1000034,T,Jednorodzinna,zmieszane,120,18014398708592800,4000000BDE30A0,4000000BDE30A0
23.092502,53.125116,1000035,T,Jednorodzinna,SUCHE,worek,,,
23.092502,53.125116,1000035,T,Jednorodzinna,gabaryty,kontener,,,
23.092502,53.125116,1000035,T,Jednorodzinna,popiół,worek,,,
23.092502,53.125116,1000035,T,Jednorodzinna,szkło,worek,,,
23.092502,53.125116,1000035,T,Jednorodzinna,zielone,worek,,,
