,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.124147,53.134973,T,Jednorodzinna,gabaryty,kontener,,,
23.124147,53.134973,T,Jednorodzinna,popiół,worek,,,
23.124147,53.134973,T,Jednorodzinna,szkło,worek,,,
23.124147,53.134973,T,Jednorodzinna,zielone,worek,,,
23.124147,53.134973,T,Jednorodzinna,zmieszane,120,18014398708579197,4000000BDDFB7D,4000000BDDFB7D
23.120111,53.13736,T,Jednorodzinna,SUCHE,worek,,,
23.120111,53.13736,T,Jednorodzinna,gabaryty,kontener,,,
23.120111,53.13736,T,Jednorodzinna,popiół,worek,,,
23.120111,53.13736,T,Jednorodzinna,szkło,worek,,,
23.120111,53.13736,T,Jednorodzinna,zielone,worek,,,
23.120111,53.13736,T,Jednorodzinna,zmieszane,120,18014398708522690,4000000BDD1EC2,4000000BDD1EC2
23.120098,53.137324,T,Jednorodzinna,SUCHE,worek,,,
23.120098,53.137324,T,Jednorodzinna,gabaryty,kontener,,,
23.120098,53.137324,T,Jednorodzinna,popiół,worek,,,
23.120098,53.137324,T,Jednorodzinna,szkło,worek,,,
23.120098,53.137324,T,Jednorodzinna,zielone,worek,,,
23.120098,53.137324,T,Jednorodzinna,zmieszane,120,18014398708515188,4000000BDD0174,4000000BDD0174
23.120098,53.137324,T,Jednorodzinna,SUCHE,worek,,,
23.120098,53.137324,T,Jednorodzinna,gabaryty,kontener,,,
23.120098,53.137324,T,Jednorodzinna,popiół,worek,,,
23.120098,53.137324,T,Jednorodzinna,szkło,worek,,,
23.120098,53.137324,T,Jednorodzinna,zielone,worek,,,
23.120098,53.137324,T,Jednorodzinna,zmieszane,120,18014398708514837,4000000BDD0015,4000000BDD0015
23.082742,53.143409,T,Jednorodzinna,SUCHE,worek,,,
23.082742,53.143409,T,Jednorodzinna,gabaryty,kontener,,,
23.082742,53.143409,T,Jednorodzinna,popiół,worek,,,
23.082742,53.143409,T,Jednorodzinna,szkło,worek,,,
23.082742,53.143409,T,Jednorodzinna,zielone,worek,,,
23.082742,53.143409,T,Jednorodzinna,zmieszane,120,18014398708513723,4000000BDCFBBB,4000000BDCFBBB
23.093831,53.123373,T,Jednorodzinna,SUCHE,worek,,,
23.093831,53.123373,T,Jednorodzinna,gabaryty,kontener,,,
23.093831,53.123373,T,Jednorodzinna,popiół,worek,,,
23.093831,53.123373,T,Jednorodzinna,szkło,worek,,,
23.093831,53.123373,T,Jednorodzinna,zielone,worek,,,
23.093831,53.123373,T,Jednorodzinna,zmieszane,120,18014398708609466,4000000BDE71BA,4000000BDE71BA
23.094311,53.123524,T,Jednorodzinna,SUCHE,worek,,,
23.094311,53.123524,T,Jednorodzinna,gabaryty,kontener,,,
23.094311,53.123524,T,Jednorodzinna,popiół,worek,,,
23.094311,53.123524,T,Jednorodzinna,szkło,worek,,,
23.094311,53.123524,T,Jednorodzinna,zielone,worek,,,
23.094311,53.123524,T,Jednorodzinna,zmieszane,120,18014398708609753,4000000BDE72D9,4000000BDE72D9
23.093773,53.12356,T,Jednorodzinna,SUCHE,worek,,,
23.093773,53.12356,T,Jednorodzinna,gabaryty,kontener,,,
23.093773,53.12356,T,Jednorodzinna,popiół,worek,,,
23.093773,53.12356,T,Jednorodzinna,szkło,worek,,,
23.093773,53.12356,T,Jednorodzinna,zielone,worek,,,
23.093773,53.12356,T,Jednorodzinna,zmieszane,120,18014398708580528,4000000BDE00B0,4000000BDE00B0
23.093671,53.123742,T,Jednorodzinna,SUCHE,worek,,,
23.093671,53.123742,T,Jednorodzinna,gabaryty,kontener,,,
23.093671,53.123742,T,Jednorodzinna,popiół,worek,,,
23.093671,53.123742,T,Jednorodzinna,szkło,worek,,,
23.093671,53.123742,T,Jednorodzinna,zielone,worek,,,
23.093671,53.123742,T,Jednorodzinna,zmieszane,120,18014398708580363,4000000BDE000B,4000000BDE000B
23.093471,53.123916,T,Jednorodzinna,SUCHE,worek,,,
23.093471,53.123916,T,Jednorodzinna,gabaryty,kontener,,,
23.093471,53.123916,T,Jednorodzinna,popiół,worek,,,
23.093471,53.123916,T,Jednorodzinna,szkło,worek,,,
23.093471,53.123916,T,Jednorodzinna,zielone,worek,,,
23.093471,53.123916,T,Jednorodzinna,zmieszane,120,18014398708609677,4000000BDE728D,4000000BDE728D
23.093373,53.12408,T,Jednorodzinna,SUCHE,worek,,,
23.093373,53.12408,T,Jednorodzinna,gabaryty,kontener,,,
23.093373,53.12408,T,Jednorodzinna,popiół,worek,,,
23.093373,53.12408,T,Jednorodzinna,szkło,worek,,,
23.093373,53.12408,T,Jednorodzinna,zielone,worek,,,
23.093373,53.12408,T,Jednorodzinna,zmieszane,120,18014398708592800,4000000BDE30A0,4000000BDE30A0
23.092502,53.125116,T,Jednorodzinna,SUCHE,worek,,,
23.092502,53.125116,T,Jednorodzinna,gabaryty,kontener,,,
23.092502,53.125116,T,Jednorodzinna,popiół,worek,,,
23.092502,53.125116,T,Jednorodzinna,szkło,worek,,,
23.092502,53.125116,T,Jednorodzinna,zielone,worek,,,
23.092502,53.125116,T,Jednorodzinna,zmieszane,120,18014398708594528,4000000BDE3760,4000000BDE3760
23.092667,53.12492,T,Jednorodzinna,SUCHE,worek,,,
23.092667,53.12492,T,Jednorodzinna,gabaryty,kontener,,,
23.092667,53.12492,T,Jednorodzinna,popiół,worek,,,
23.092667,53.12492,T,Jednorodzinna,szkło,worek,,,
23.092667,53.12492,T,Jednorodzinna,zielone,worek,,,
23.092667,53.12492,T,Jednorodzinna,zmieszane,120,18014398708608962,4000000BDE6FC2,4000000BDE6FC2
23.093058,53.124467,T,Jednorodzinna,SUCHE,worek,,,
23.093058,53.124467,T,Jednorodzinna,gabaryty,kontener,,,
23.093058,53.124467,T,Jednorodzinna,popiół,worek,,,
23.093058,53.124467,T,Jednorodzinna,szkło,worek,,,
