Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5662,10394/2017,2017-06-17 10:35:20,2017-06-17 10:39:33,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,34","6,66",PZ,0.68
5663,10395/2017,2017-06-17 10:40:37,2017-06-17 10:45:59,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"24,36","15,54",PZ,8.82
5664,10396/2017,2017-06-17 11:04:02,2017-06-17 11:09:08,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"28,48","15,34",PZ,13.14
5665,10397/2017,2017-06-17 12:08:31,2017-06-17 12:13:03,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,82","7,58",PZ,0.24
5666,10398/2017,2017-06-17 12:59:34,2017-06-17 13:06:01,BI 8893U,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"14,9","10,7",PZ,4.2
5667,10399/2017,2017-06-17 13:21:00,2017-06-17 13:31:19,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"26,18","13,78",PZ,12.4
5668,10400/2017,2017-06-17 13:21:45,2017-06-17 13:28:11,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"25,32","18,12",PZ,7.2
5669,10401/2017,2017-06-17 14:04:22,2017-06-17 14:08:53,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,28","15,16",PZ,8.12
5670,10408/2017,2017-06-19 05:42:03,2017-06-19 05:48:05,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"17,24","15,68",PZ,1.56
5671,10430/2017,2017-06-19 06:34:15,2017-06-19 06:39:30,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"15,52",14,PZ,1.52
5672,10431/2017,2017-06-19 06:34:51,2017-06-19 06:38:42,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"10,14","9,02",PZ,1.12
5673,10432/2017,2017-06-19 06:53:52,2017-06-19 07:10:43,BI 4792J,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"40,56","16,74",PZ,23.82
5674,10433/2017,2017-06-19 06:57:45,2017-06-19 07:03:23,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,86","7,56",PZ,0.3
5675,10434/2017,2017-06-19 07:24:08,2017-06-19 07:29:18,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,6","8,76",PZ,0.84
5676,10435/2017,2017-06-19 07:28:23,2017-06-19 07:41:37,BI 6247H,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"36,32","16,12",PZ,20.2
5677,10437/2017,2017-06-19 07:59:48,2017-06-19 08:07:27,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,62","13,88",PZ,9.74
5678,10439/2017,2017-06-19 08:10:30,2017-06-19 08:23:15,BI 4792J,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"41,24","16,72",PZ,24.52
5679,10440/2017,2017-06-19 08:31:08,2017-06-19 08:38:05,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,54","15,7",PZ,11.84
5680,10441/2017,2017-06-19 08:36:00,2017-06-19 08:43:00,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,12","15,3",PZ,11.82
5681,10442/2017,2017-06-19 09:07:13,2017-06-19 09:11:28,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,76","13,88",PZ,11.88
5682,10443/2017,2017-06-19 09:17:13,2017-06-19 09:23:03,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,64","7,68",PZ,0.96
5683,10444/2017,2017-06-19 09:40:25,2017-06-19 09:47:18,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,32","6,58",PZ,0.74
5684,10445/2017,2017-06-19 09:41:00,2017-06-19 09:46:34,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,36","13,94",PZ,11.42
5685,10446/2017,2017-06-19 09:47:00,2017-06-19 09:55:23,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"29,06","15,72",PZ,13.34
5686,10447/2017,2017-06-19 09:56:31,2017-06-19 10:03:52,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,6","13,86",PZ,9.74
5687,10449/2017,2017-06-19 10:08:05,2017-06-19 10:16:57,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,24","14,74",PZ,8.5
5688,10450/2017,2017-06-19 10:08:42,2017-06-19 10:13:45,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"26,54","15,04",PZ,11.5
5689,10451/2017,2017-06-19 10:11:18,2017-06-19 10:17:42,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,44","14,8",PZ,11.64
5690,10452/2017,2017-06-19 10:13:25,2017-06-19 10:24:51,651,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,86","17,3",PZ,6.56
5691,10453/2017,2017-06-19 10:15:34,2017-06-19 10:20:19,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"22,12","12,66",PZ,9.46
5692,10454/2017,2017-06-19 10:19:55,2017-06-19 10:25:42,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,46","15,26",PZ,10.2
