Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5735,10526/2017,2017-06-20 06:40:42,2017-06-20 06:58:00,BI 4792J,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"38,48","16,64",PZ,21.84
5736,10529/2017,2017-06-20 06:49:16,2017-06-20 06:55:23,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"9,1","7,76",PZ,1.34
5737,10531/2017,2017-06-20 07:01:53,2017-06-20 07:08:39,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,68","14,1",PZ,7.58
5738,10537/2017,2017-06-20 09:14:49,2017-06-20 09:21:45,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"19,76","14,08",PZ,5.68
5739,10539/2017,2017-06-20 09:29:26,2017-06-20 09:35:43,634,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"7,1","6,58",PZ,0.52
5740,10540/2017,2017-06-20 09:31:22,2017-06-20 09:58:04,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"35,94","15,46",PZ,20.48
5741,10542/2017,2017-06-20 10:35:23,2017-06-20 10:50:06,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"22,72","13,96",PZ,8.76
5742,10543/2017,2017-06-20 10:52:02,2017-06-20 11:05:05,BI 4792J,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"37,08","16,64",PZ,20.44
5743,10544/2017,2017-06-20 10:54:13,2017-06-20 11:06:51,BI 6247H,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"37,02","16,08",PZ,20.94
5744,10545/2017,2017-06-20 11:25:29,2017-06-20 11:33:21,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,56","14,68",PZ,9.88
5745,10546/2017,2017-06-20 11:29:09,2017-06-20 11:36:15,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,26","14,08",PZ,7.18
5746,10548/2017,2017-06-20 11:39:01,2017-06-20 11:43:34,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"25,06","15,74",PZ,9.32
5747,10549/2017,2017-06-20 11:48:40,2017-06-20 12:04:57,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,52","16,06",PZ,23.46
5748,10550/2017,2017-06-20 12:13:08,2017-06-20 12:19:30,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"19,22","12,28",PZ,6.94
5749,10551/2017,2017-06-20 12:53:52,2017-06-20 12:58:40,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"20,82","15,98",PZ,4.84
5750,10552/2017,2017-06-20 12:56:58,2017-06-20 13:02:23,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,52","15,82",PZ,11.7
5751,10553/2017,2017-06-20 13:10:00,2017-06-20 13:17:47,BI 8893U,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"13,26","10,7",PZ,2.56
5752,10554/2017,2017-06-20 13:22:29,2017-06-20 13:32:50,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,42","14,1",PZ,7.32
5753,10555/2017,2017-06-20 13:30:05,2017-06-20 13:34:20,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,56","8,74",PZ,0.82
5754,10557/2017,2017-06-20 13:55:40,2017-06-20 14:25:39,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"37,28","15,48",PZ,21.8
5755,10558/2017,2017-06-20 14:07:47,2017-06-20 14:13:27,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"17,52","15,22",PZ,2.3
5756,10559/2017,2017-06-20 15:54:01,2017-06-20 16:01:38,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,08","14,12",PZ,7.96
5757,10561/2017,2017-06-20 16:08:11,2017-06-20 16:15:42,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"21,72",14,PZ,7.72
5758,10562/2017,2017-06-20 16:09:01,2017-06-20 16:14:21,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,22","13,78",PZ,6.44
5759,10563/2017,2017-06-20 16:42:27,2017-06-20 16:50:08,758,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"22,42","16,38",PZ,6.04
5760,10564/2017,2017-06-20 18:27:52,2017-06-20 18:54:56,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,28",16,PZ,23.28
5761,10565/2017,2017-06-20 18:38:04,2017-06-20 19:00:32,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"37,98","15,14",PZ,22.84
5762,10569/2017,2017-06-21 05:30:57,2017-06-21 05:35:09,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,2","6,7",PZ,0.5
5763,10595/2017,2017-06-21 06:49:03,2017-06-21 06:53:27,979,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"3,98","3,68",PZ,0.3
5764,10597/2017,2017-06-21 07:07:23,2017-06-21 07:13:53,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,56","14,08",PZ,6.48
5765,10598/2017,2017-06-21 07:09:07,2017-06-21 07:26:05,BHA 23UC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"36,7","15,36",PZ,21.34
5766,10601/2017,2017-06-21 07:35:11,2017-06-21 07:39:00,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,12","6,74",PZ,0.38
5767,10602/2017,2017-06-21 08:21:31,2017-06-21 08:31:02,BIA 31225,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"19,84","13,64",PZ,6.2
5768,10603/2017,2017-06-21 08:25:43,2017-06-21 08:30:28,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,5","7,6",PZ,0.9
5769,10604/2017,2017-06-21 08:48:27,2017-06-21 09:10:29,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"35,7","15,04",PZ,20.66
5770,10605/2017,2017-06-21 08:52:25,2017-06-21 09:06:49,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"40,4","16,12",PZ,24.28
5771,10606/2017,2017-06-21 09:00:55,2017-06-21 09:05:33,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,9","7,62",PZ,0.28
5772,10607/2017,2017-06-21 09:12:19,2017-06-21 09:19:02,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,46","14,06",PZ,8.4
5773,10608/2017,2017-06-21 09:17:06,2017-06-21 09:21:52,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"15,88","13,94",PZ,1.94
5774,10610/2017,2017-06-21 09:28:56,2017-06-21 09:33:19,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,98","7,62",PZ,0.36
5775,10611/2017,2017-06-21 09:56:48,2017-06-21 10:01:32,759,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"4,18","3,78",PZ,0.4
5776,10612/2017,2017-06-21 11:11:33,2017-06-21 11:19:33,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,38","13,98",PZ,9.4
5777,10613/2017,2017-06-21 11:14:19,2017-06-21 11:28:42,BI 6247H,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"39,84","16,08",PZ,23.76
5778,10614/2017,2017-06-21 11:15:24,2017-06-21 11:32:32,BI 4792J,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"37,6","16,68",PZ,20.92
5779,10615/2017,2017-06-21 11:17:43,2017-06-21 11:30:44,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,82","14,04",PZ,8.78
5780,10616/2017,2017-06-21 11:21:29,2017-06-21 11:53:48,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"38,82","15,4",PZ,23.42
5781,10617/2017,2017-06-21 11:31:24,2017-06-21 11:35:36,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,44","6,7",PZ,0.74
5782,10619/2017,2017-06-21 11:36:53,2017-06-21 11:55:22,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,92","15,92",PZ,24
5783,10620/2017,2017-06-21 11:48:25,2017-06-21 11:56:58,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"18,18","12,26",PZ,5.92
5784,10621/2017,2017-06-21 12:02:39,2017-06-21 12:07:15,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,22","6,62",PZ,0.6
5785,10622/2017,2017-06-21 12:11:38,2017-06-21 12:16:09,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,22","8,64",PZ,0.58
5786,10623/2017,2017-06-21 12:18:53,2017-06-21 12:23:22,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"20,7","16,28",PZ,4.42
5787,10624/2017,2017-06-21 12:27:13,2017-06-21 12:34:13,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"19,98","16,6",PZ,3.38
5788,10625/2017,2017-06-21 12:29:00,2017-06-21 12:39:49,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"23,44","12,52",PZ,10.92
5789,10626/2017,2017-06-21 12:30:21,2017-06-21 12:35:30,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,36","6,66",PZ,0.7
5790,10627/2017,2017-06-21 12:31:08,2017-06-21 12:37:51,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"28,08","15,8",PZ,12.28
5791,10628/2017,2017-06-21 12:45:18,2017-06-21 12:50:55,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"27,12","15,76",PZ,11.36
5792,10629/2017,2017-06-21 12:46:07,2017-06-21 12:52:08,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"20,52","18,52",PZ,2
5793,10630/2017,2017-06-21 12:49:20,2017-06-21 12:55:12,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,22","15,74",PZ,10.48
5794,10631/2017,2017-06-21 12:50:01,2017-06-21 12:58:11,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,62","14,64",PZ,9.98
5795,10632/2017,2017-06-21 12:56:04,2017-06-21 13:01:55,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"18,98","15,22",PZ,3.76
5796,10633/2017,2017-06-21 13:08:10,2017-06-21 13:14:12,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"21,52","12,32",PZ,9.2
5797,10634/2017,2017-06-21 13:26:15,2017-06-21 13:46:12,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"38,02","14,98",PZ,23.04
5798,10635/2017,2017-06-21 13:32:42,2017-06-21 13:44:03,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,04","14,04",PZ,7
5799,10637/2017,2017-06-21 13:40:00,2017-06-21 13:55:33,NEL 05334,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Gródek),20 03 01,GRÓDEK,"16,5","12,38",PZ,4.12
5800,10638/2017,2017-06-21 14:17:39,2017-06-21 14:32:41,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"34,18","16,02",PZ,18.16
5801,10639/2017,2017-06-21 14:18:50,2017-06-21 14:25:26,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"19,62","16,16",PZ,3.46
5802,10640/2017,2017-06-21 14:51:51,2017-06-21 15:13:11,BHA 23UC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"35,84","15,18",PZ,20.66
5803,10641/2017,2017-06-21 15:06:41,2017-06-21 15:12:12,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"25,24","13,76",PZ,11.48
5804,10642/2017,2017-06-21 15:16:29,2017-06-21 15:33:24,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"35,5","15,38",PZ,20.12
5805,10643/2017,2017-06-21 16:29:40,2017-06-21 16:37:51,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"22,74","13,84",PZ,8.9
5806,10644/2017,2017-06-21 18:23:45,2017-06-21 18:47:28,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,18","15,84",PZ,23.34
5807,10645/2017,2017-06-21 18:34:05,2017-06-21 18:55:07,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"36,44","14,96",PZ,21.48
5808,10646/2017,2017-06-21 19:02:07,2017-06-21 19:31:45,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"34,88","15,26",PZ,19.62
5809,10647/2017,2017-06-21 19:29:02,2017-06-21 19:38:52,1016,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,28","14,8",PZ,4.48
5810,10657/2017,2017-06-22 05:51:32,2017-06-22 05:59:06,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,8","14,02",PZ,6.78
5811,10667/2017,2017-06-22 06:07:03,2017-06-22 06:13:37,207,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,08","18,96",PZ,4.12
5812,10673/2017,2017-06-22 06:22:47,2017-06-22 06:38:56,BHA 87TC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"33,88","15,62",PZ,18.26
5813,10676/2017,2017-06-22 06:31:38,2017-06-22 06:37:01,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,92","6,42",PZ,0.5
5814,10677/2017,2017-06-22 06:36:07,2017-06-22 06:40:53,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,54","6,68",PZ,0.86
5815,10679/2017,2017-06-22 06:51:56,2017-06-22 07:06:47,BI 4792J,MPO Sp. z o.o.,20 03 01,Jasionówka,"37,94",16,PZ,21.94
5816,10681/2017,2017-06-22 07:10:25,2017-06-22 07:16:48,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,66","6,42",PZ,0.24
5817,10682/2017,2017-06-22 07:14:57,2017-06-22 07:20:43,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,68","6,62",PZ,1.06
5818,10684/2017,2017-06-22 07:41:00,2017-06-22 07:47:59,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,12",14,PZ,7.12
5819,10686/2017,2017-06-22 08:04:19,2017-06-22 08:16:22,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"39,4","15,98",PZ,23.42
5820,10687/2017,2017-06-22 08:52:45,2017-06-22 09:11:56,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"39,26","15,22",PZ,24.04
5821,10688/2017,2017-06-22 08:54:31,2017-06-22 08:59:00,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,58","6,4",PZ,0.18
5822,10689/2017,2017-06-22 09:01:29,2017-06-22 09:11:22,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,92","14,48",PZ,12.44
5823,10690/2017,2017-06-22 09:16:26,2017-06-22 09:21:55,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,36","14,02",PZ,11.34
5824,10691/2017,2017-06-22 09:24:12,2017-06-22 09:29:52,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,72","6,4",PZ,0.32
5825,10692/2017,2017-06-22 09:26:47,2017-06-22 09:35:34,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,78","13,98",PZ,8.8
5826,10693/2017,2017-06-22 09:28:30,2017-06-22 09:33:24,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,04","7,58",PZ,0.46
5827,10696/2017,2017-06-22 09:36:52,2017-06-22 09:41:38,02,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"7,5","7,18",PZ,0.32
5828,10699/2017,2017-06-22 09:45:04,2017-06-22 09:51:19,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"28,36","14,92",PZ,13.44
5829,10701/2017,2017-06-22 09:56:59,2017-06-22 10:03:57,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"26,68","13,98",PZ,12.7
5830,10702/2017,2017-06-22 10:02:23,2017-06-22 10:07:00,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,98","7,64",PZ,0.34
5831,10703/2017,2017-06-22 10:05:25,2017-06-22 10:10:36,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,14","15,18",PZ,9.96
5832,10704/2017,2017-06-22 10:13:46,2017-06-22 10:18:16,02,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"7,4","7,02",PZ,0.38
5833,10705/2017,2017-06-22 10:14:32,2017-06-22 10:20:09,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,04","15,4",PZ,11.64
5834,10706/2017,2017-06-22 10:16:25,2017-06-22 10:25:06,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"29,58","15,74",PZ,13.84
5835,10708/2017,2017-06-22 10:26:13,2017-06-22 10:32:32,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,62","16,74",PZ,8.88
5836,10709/2017,2017-06-22 10:31:15,2017-06-22 10:45:11,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"42,16","15,98",PZ,26.18
5837,10710/2017,2017-06-22 10:49:56,2017-06-22 11:08:13,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,92","15,76",PZ,24.16
5838,10711/2017,2017-06-22 11:12:21,2017-06-22 11:17:06,02,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"7,26","7,02",PZ,0.24
5839,10712/2017,2017-06-22 11:21:09,2017-06-22 11:28:55,P01,Urząd Miejski w Czarnej Białostockiej,20 03 01,Czarna Białostocka,"9,86","9,48",PZ,0.38
5840,10713/2017,2017-06-22 11:27:53,2017-06-22 11:36:00,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"19,62","14,28",PZ,5.34
5841,10714/2017,2017-06-22 11:33:27,2017-06-22 11:38:36,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,56","15,72",PZ,8.84
5842,10715/2017,2017-06-22 11:34:06,2017-06-22 11:39:09,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"20,68","16,1",PZ,4.58
5843,10716/2017,2017-06-22 11:34:59,2017-06-22 11:42:31,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,24","13,98",PZ,7.26
5844,10717/2017,2017-06-22 11:40:11,2017-06-22 11:45:34,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"27,66","15,76",PZ,11.9
5845,10719/2017,2017-06-22 11:50:33,2017-06-22 11:58:50,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"29,28","15,72",PZ,13.56
5846,10720/2017,2017-06-22 11:51:17,2017-06-22 11:59:49,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,02","14,8",PZ,8.22
5847,10721/2017,2017-06-22 11:57:41,2017-06-22 12:04:54,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"19,72","15,72",PZ,4
5848,10722/2017,2017-06-22 12:00:43,2017-06-22 12:09:42,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,44","14,52",PZ,8.92
5849,10723/2017,2017-06-22 12:01:33,2017-06-22 12:14:32,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,7","13,94",PZ,9.76
5850,10724/2017,2017-06-22 12:03:33,2017-06-22 12:15:13,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"18,66","12,22",PZ,6.44
5851,10725/2017,2017-06-22 12:08:35,2017-06-22 12:18:30,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"19,68","14,84",PZ,4.84
5852,10726/2017,2017-06-22 12:21:56,2017-06-22 12:27:21,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"22,24","13,96",PZ,8.28
5853,10727/2017,2017-06-22 12:36:09,2017-06-22 12:43:10,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,56","13,94",PZ,6.62
5854,10728/2017,2017-06-22 12:37:14,2017-06-22 12:44:06,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"19,64","16,7",PZ,2.94
5855,10729/2017,2017-06-22 12:42:11,2017-06-22 12:47:36,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,2","8,84",PZ,0.36
5856,10730/2017,2017-06-22 12:53:11,2017-06-22 12:59:53,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"21,58","12,46",PZ,9.12
5857,10731/2017,2017-06-22 12:54:13,2017-06-22 12:58:51,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"21,04","15,12",PZ,5.92
5858,10732/2017,2017-06-22 13:01:24,2017-06-22 13:08:30,287,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"32,98","20,1",PZ,12.88
5859,10733/2017,2017-06-22 13:21:52,2017-06-22 13:29:39,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,9","13,96",PZ,9.94
5860,10734/2017,2017-06-22 13:23:55,2017-06-22 13:36:33,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"22,26","17,9",PZ,4.36
5861,10735/2017,2017-06-22 13:24:39,2017-06-22 13:31:21,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,58","15,2",PZ,8.38
5862,10737/2017,2017-06-22 13:42:15,2017-06-22 13:59:20,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"38,48","15,14",PZ,23.34
5863,10738/2017,2017-06-22 13:43:24,2017-06-22 13:57:31,BHA 87TC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"33,08","15,52",PZ,17.56
5864,10739/2017,2017-06-22 14:02:05,2017-06-22 14:08:30,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"21,26","15,7",PZ,5.56
5865,10743/2017,2017-06-22 14:41:55,2017-06-22 14:49:37,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"17,28","12,26",PZ,5.02
5866,10744/2017,2017-06-22 14:47:26,2017-06-22 14:53:57,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"21,54","13,82",PZ,7.72
5867,10745/2017,2017-06-22 14:48:44,2017-06-22 15:03:20,BI 6247H,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"39,14","15,9",PZ,23.24
5868,10746/2017,2017-06-22 15:18:49,2017-06-22 15:26:57,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,18","13,94",PZ,8.24
5869,10748/2017,2017-06-22 16:06:59,2017-06-22 16:14:38,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,78","14,48",PZ,9.3
5870,10749/2017,2017-06-22 16:16:56,2017-06-22 16:37:47,WOS 42555,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"36,94","15,7",PZ,21.24
5871,10750/2017,2017-06-22 16:36:23,2017-06-22 16:43:44,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"21,76","14,04",PZ,7.72
